,Name,Longitude,Latitude,Sector,State,Highest degree offered,Total_enrollment,Fulltime_enrollment,Parttime_enrollment
785,Alfred University,-77.788625,42.255866,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship,2431,2079,352
786,Bard College,-73.906243,42.021803,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship,2355,2229,126
787,Barnard College,-73.964027,40.809137,"Private not-for-profit, 4-year or above",New York,Bachelor's degree,2489,2463,26
788,Boricua College,-73.9458,40.833434,"Private not-for-profit, 4-year or above",New York,Master's degree,1118,1118,0
789,Canisius College,-78.851794,42.925319,"Private not-for-profit, 4-year or above",New York,Master's degree,4537,3443,1094
790,Cazenovia College,-75.854054,42.931946,"Private not-for-profit, 4-year or above",New York,Bachelor's degree,1077,937,140
791,Clarkson University,-74.999947,44.663761,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,3726,3602,124
792,Colgate University,-75.535,42.8188,"Private not-for-profit, 4-year or above",New York,Master's degree,2900,2877,23
793,Metropolitan College of New York,-74.007056,40.723516,"Private not-for-profit, 4-year or above",New York,Master's degree,1255,1164,91
794,Columbia University in the City of New York,-73.961885,40.808286,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,26957,22731,4226
795,Concordia College-New York,-73.82212,40.94253,"Private not-for-profit, 4-year or above",New York,Master's degree,953,868,85
796,Cooper Union for the Advancement of Science and Art,-73.990516,40.72938,"Private not-for-profit, 4-year or above",New York,Master's degree,920,903,17
797,Cornell University,-76.48269,42.445291,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,21593,21528,65
798,CUNY Bernard M Baruch College,-73.983417,40.740238,"Public, 4-year or above",New York,Master's degree,17505,11222,6283
799,CUNY Brooklyn College,-73.95312,40.631912,"Public, 4-year or above",New York,Master's degree,17004,10061,6943
800,College of Staten Island CUNY,-74.148701,40.603949,"Public, 4-year or above",New York,Master's degree,14441,9900,4541
