,Name,Longitude,Latitude,Sector,State,Highest degree offered,Total_enrollment,Fulltime_enrollment,Parttime_enrollment
1138,Pennsylvania State University-Penn State Schuylkill,-76.166371,40.642583,"Public, 4-year or above",Pennsylvania,Bachelor's degree,837,658,179
1139,Pennsylvania State University-Penn State York,-76.702835,39.952327,"Public, 4-year or above",Pennsylvania,Master's degree,1177,822,355
1140,Peirce College,-75.166332,39.945483,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,1796,358,1438
1141,University of Pennsylvania,-75.193618,39.951002,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship and professional practice,24630,21344,3286
1142,Philadelphia University,-75.194249,40.022281,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship,3523,2916,607
1143,Cairn University-Langhorne,-74.909509,40.165809,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,1093,826,267
1144,University of Pittsburgh-Bradford,-78.673039,41.944173,"Public, 4-year or above",Pennsylvania,Bachelor's degree,1481,1361,120
1145,University of Pittsburgh-Greensburg,-79.535757,40.292824,"Public, 4-year or above",Pennsylvania,Bachelor's degree,1677,1564,113
1146,University of Pittsburgh-Johnstown,-78.832611,40.268583,"Public, 4-year or above",Pennsylvania,Bachelor's degree,2840,2753,87
1147,University of Pittsburgh-Pittsburgh Campus,-79.954692,40.444502,"Public, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship and professional practice,28649,25069,3580
1148,Point Park University,-80.001462,40.438526,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,3841,2801,1040
1149,Robert Morris University,-80.211785,40.521088,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship and professional practice,5481,3935,1546
1150,Rosemont College,-75.329898,40.034771,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,957,526,431
1151,Saint Francis University,-78.638469,40.502782,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree -  professional practice,2344,1781,563
1152,Saint Joseph's University,-75.238343,39.994442,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship,8954,5124,3830
1153,Saint Vincent College,-79.403702,40.29252,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree -  professional practice,1813,1654,159
1154,University of Scranton,-75.658031,41.40715,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree -  professional practice,5633,4826,807
1155,Seton Hill University,-79.556228,40.308623,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,2357,1685,672
1156,Shippensburg University of Pennsylvania,-77.5229,40.057405,"Public, 4-year or above",Pennsylvania,Master's degree,7548,6535,1013
1157,Slippery Rock University of Pennsylvania,-80.051814,41.060814,"Public, 4-year or above",Pennsylvania,Doctor's degree -  professional practice,8347,7411,936
1158,Susquehanna University,-76.87521,40.79774,"Private not-for-profit, 4-year or above",Pennsylvania,Bachelor's degree,2187,2129,58
1159,Swarthmore College,-75.356066,39.904081,"Private not-for-profit, 4-year or above",Pennsylvania,Bachelor's degree,1534,1526,8
1160,Temple University,-75.158267,39.980943,"Public, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship and professional practice,37270,31436,5834
1161,Thiel College,-80.382134,41.41308,"Private not-for-profit, 4-year or above",Pennsylvania,Bachelor's degree,1100,1061,39
1162,Ursinus College,-75.455654,40.19405,"Private not-for-profit, 4-year or above",Pennsylvania,Bachelor's degree,1596,1582,14
1163,Valley Forge Christian College,-75.54864,40.118341,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,1004,694,310
1164,Villanova University,-75.345457,40.039388,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship and professional practice,10696,7876,2820
1165,Washington & Jefferson College,-80.240388,40.171898,"Private not-for-profit, 4-year or above",Pennsylvania,Bachelor's degree,1328,1318,10
1166,Waynesburg University,-80.18727,39.899419,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree -  professional practice,2190,1563,627
1167,West Chester University of Pennsylvania,-75.594631,39.949084,"Public, 4-year or above",Pennsylvania,Master's degree,15845,13250,2595
1168,Westminster College,-80.331376,41.118456,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,1366,1264,102
1169,Widener University-Main Campus,-75.356718,39.86158,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship and professional practice,5025,3573,1452
1170,Wilkes University,-75.88833,41.243204,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship and professional practice,4665,2670,1995
1171,Wilson College,-77.658075,39.947461,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,662,332,330
1172,York College Pennsylvania,-76.727266,39.946709,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree -  professional practice,5250,4492,758
1173,Brown University,-71.404467,41.827605,"Private not-for-profit, 4-year or above",Rhode Island,Doctor's degree - research/scholarship and professional practice,8943,8527,416
1174,Bryant University,-71.539147,41.920149,"Private not-for-profit, 4-year or above",Rhode Island,Master's degree,3454,3276,178
1175,Johnson & Wales University-Providence,-71.413322,41.820558,"Private not-for-profit, 4-year or above",Rhode Island,Doctor's degree - research/scholarship,10369,9594,775
1176,New England Institute of Technology,-71.502892,41.661783,"Private not-for-profit, 4-year or above",Rhode Island,Master's degree,2933,2436,497
1177,Providence College,-71.43792,41.844064,"Private not-for-profit, 4-year or above",Rhode Island,Master's degree,4665,3982,683
1178,Rhode Island College,-71.466915,41.84266,"Public, 4-year or above",Rhode Island,Doctor's degree - research/scholarship,8700,5802,2898
1179,University of Rhode Island,-71.527356,41.484691,"Public, 4-year or above",Rhode Island,Doctor's degree - research/scholarship and professional practice,16387,13662,2725
1180,Roger Williams University,-71.261836,41.647314,"Private not-for-profit, 4-year or above",Rhode Island,Master's degree,4732,4041,691
1181,Salve Regina University,-71.301125,41.471445,"Private not-for-profit, 4-year or above",Rhode Island,Doctor's degree - research/scholarship,2603,1981,622
1182,Allen University,-81.020045,34.010348,"Private not-for-profit, 4-year or above",South Carolina,Bachelor's degree,651,635,16
1183,Anderson University,-82.640205,34.515506,"Private not-for-profit, 4-year or above",South Carolina,Doctor's degree - research/scholarship,2966,2156,810
1184,Charleston Southern University,-80.069288,32.981986,"Private not-for-profit, 4-year or above",South Carolina,Master's degree,3269,2661,608
1185,Benedict College,-81.021412,34.011285,"Private not-for-profit, 4-year or above",South Carolina,Bachelor's degree,2512,2470,42
1186,Southern Wesleyan University,-82.761586,34.728068,"Private not-for-profit, 4-year or above",South Carolina,Master's degree,1701,1672,29
1187,College of Charleston,-79.937251,32.783142,"Public, 4-year or above",South Carolina,Master's degree,11619,10022,1597
1188,Citadel Military College of South Carolina,-79.961399,32.796975,"Public, 4-year or above",South Carolina,Master's degree,3598,2668,930
1189,Claflin University,-80.854368,33.497367,"Private not-for-profit, 4-year or above",South Carolina,Master's degree,1884,1807,77
1190,Clemson University,-82.834463,34.677329,"Public, 4-year or above",South Carolina,Doctor's degree - research/scholarship,21303,18963,2340
1191,Coker College,-80.067713,34.37709,"Private not-for-profit, 4-year or above",South Carolina,Master's degree,1172,1010,162
1192,Columbia International University,-81.069502,34.081233,"Private not-for-profit, 4-year or above",South Carolina,Doctor's degree - research/scholarship,1154,754,400
1193,Columbia College,-81.001369,34.062923,"Private not-for-profit, 4-year or above",South Carolina,Master's degree,1169,867,302
1194,Converse College,-81.918829,34.956232,"Private not-for-profit, 4-year or above",South Carolina,Master's degree,1333,775,558
1195,Erskine College,-82.390797,34.330674,"Private not-for-profit, 4-year or above",South Carolina,Doctor's degree - research/scholarship,815,744,71
1196,Francis Marion University,-79.655515,34.192277,"Public, 4-year or above",South Carolina,Master's degree,4058,3388,670
1197,Furman University,-82.441473,34.920785,"Private not-for-profit, 4-year or above",South Carolina,Master's degree,2953,2722,231
1198,Lander University,-82.166351,34.201143,"Public, 4-year or above",South Carolina,Master's degree,2877,2592,285
1199,Limestone College,-81.648033,35.052919,"Private not-for-profit, 4-year or above",South Carolina,Master's degree,3307,2390,917
1200,Morris College,-80.346346,33.938707,"Private not-for-profit, 4-year or above",South Carolina,Bachelor's degree,824,817,7
1201,Newberry College,-81.601966,34.286201,"Private not-for-profit, 4-year or above",South Carolina,Bachelor's degree,1039,1007,32
1202,North Greenville University,-82.37026,35.069758,"Private not-for-profit, 4-year or above",South Carolina,Doctor's degree - research/scholarship,2466,2102,364
1203,Presbyterian College,-81.874408,34.465697,"Private not-for-profit, 4-year or above",South Carolina,Doctor's degree -  professional practice,1433,1395,38
1204,University of South Carolina-Aiken,-81.767901,33.572917,"Public, 4-year or above",South Carolina,Master's degree,3299,2430,869
1205,University of South Carolina-Beaufort,-80.973595,32.303308,"Public, 4-year or above",South Carolina,Bachelor's degree,1724,1376,348
1206,University of South Carolina-Columbia,-81.026971,33.998973,"Public, 4-year or above",South Carolina,Doctor's degree - research/scholarship and professional practice,31964,28022,3942
1207,Coastal Carolina University,-79.0126,33.794733,"Public, 4-year or above",South Carolina,Master's degree,9478,8199,1279
1208,South Carolina State University,-80.851185,33.497439,"Public, 4-year or above",South Carolina,Doctor's degree - research/scholarship,3463,2945,518
1209,University of South Carolina-Upstate,-81.970583,34.996403,"Public, 4-year or above",South Carolina,Master's degree,5445,4236,1209
1210,Voorhees College,-81.130104,33.307455,"Private not-for-profit, 4-year or above",South Carolina,Bachelor's degree,536,516,20
1211,Winthrop University,-81.028667,34.938506,"Public, 4-year or above",South Carolina,Master's degree,6130,4928,1202
1212,Wofford College,-81.934572,34.957914,"Private not-for-profit, 4-year or above",South Carolina,Bachelor's degree,1615,1598,17
1213,Augustana College,-96.738507,43.525939,"Private not-for-profit, 4-year or above",South Dakota,Master's degree,1765,1586,179
1214,Black Hills State University,-103.870009,44.495536,"Public, 4-year or above",South Dakota,Master's degree,4464,2526,1938
1215,Dakota State University,-97.109609,44.0127,"Public, 4-year or above",South Dakota,Doctor's degree - research/scholarship,3129,1244,1885
1216,Dakota Wesleyan University,-98.030566,43.695995,"Private not-for-profit, 4-year or above",South Dakota,Master's degree,879,714,165
1217,Mount Marty College,-97.409904,42.874475,"Private not-for-profit, 4-year or above",South Dakota,Master's degree,1225,652,573
1218,Northern State University,-98.4837,45.452555,"Public, 4-year or above",South Dakota,Master's degree,3275,1588,1687
1219,Presentation College,-98.49077,45.482833,"Private not-for-profit, 4-year or above",South Dakota,Bachelor's degree,791,536,255
1220,South Dakota State University,-96.783415,44.31942,"Public, 4-year or above",South Dakota,Doctor's degree - research/scholarship and professional practice,12525,9146,3379
1221,University of Sioux Falls,-96.738229,43.531574,"Private not-for-profit, 4-year or above",South Dakota,Master's degree,1408,938,470
1222,University of South Dakota,-96.924664,42.784558,"Public, 4-year or above",South Dakota,Doctor's degree - research/scholarship and professional practice,10235,6031,4204
1223,Aquinas College,-86.844214,36.132187,"Private not-for-profit, 4-year or above",Tennessee,Master's degree,574,220,354
1224,Austin Peay State University,-87.354081,36.533319,"Public, 4-year or above",Tennessee,Master's degree,10399,7150,3249
1225,Belmont University,-86.794715,36.133866,"Private not-for-profit, 4-year or above",Tennessee,Doctor's degree -  professional practice,6915,6102,813
1226,Bethel University,-88.516162,36.139271,"Private not-for-profit, 4-year or above",Tennessee,Master's degree,6634,5282,1352
1227,Bryan College-Dayton,-85.016596,35.495721,"Private not-for-profit, 4-year or above",Tennessee,Master's degree,1704,1249,455
1228,Carson-Newman University,-83.492183,36.122224,"Private not-for-profit, 4-year or above",Tennessee,Doctor's degree - research/scholarship,2045,1761,284
1229,Christian Brothers University,-89.983241,35.127437,"Private not-for-profit, 4-year or above",Tennessee,Master's degree,1577,1135,442
1230,Cumberland University,-86.29966,36.204243,"Private not-for-profit, 4-year or above",Tennessee,Master's degree,1501,1099,402
1231,Lipscomb University,-86.799304,36.10469,"Private not-for-profit, 4-year or above",Tennessee,Doctor's degree - research/scholarship and professional practice,4580,3403,1177
1232,East Tennessee State University,-82.366954,36.301643,"Public, 4-year or above",Tennessee,Doctor's degree - research/scholarship and professional practice,14691,11577,3114
1233,Fisk University,-86.805671,36.16912,"Private not-for-profit, 4-year or above",Tennessee,Master's degree,646,612,34
1234,Welch College,-86.826158,36.134633,"Private not-for-profit, 4-year or above",Tennessee,Bachelor's degree,338,234,104
1235,Freed-Hardeman University,-88.639418,35.440073,"Private not-for-profit, 4-year or above",Tennessee,Master's degree,1811,1363,448
1236,King University,-82.156532,36.585899,"Private not-for-profit, 4-year or above",Tennessee,Master's degree,2575,2369,206
1237,Lane College,-88.806832,35.628197,"Private not-for-profit, 4-year or above",Tennessee,Bachelor's degree,1554,1534,20
1238,Le Moyne-Owen College,-90.034101,35.118641,"Private not-for-profit, 4-year or above",Tennessee,Bachelor's degree,1023,879,144
1239,Lee University,-84.870018,35.166166,"Private not-for-profit, 4-year or above",Tennessee,Master's degree,4922,3997,925
1240,Lincoln Memorial University,-83.658818,36.581284,"Private not-for-profit, 4-year or above",Tennessee,Doctor's degree - research/scholarship and professional practice,3952,2983,969
1241,Martin Methodist College,-87.035085,35.200662,"Private not-for-profit, 4-year or above",Tennessee,Bachelor's degree,1144,1016,128
1242,Maryville College,-83.963853,35.751969,"Private not-for-profit, 4-year or above",Tennessee,Bachelor's degree,1168,1132,36
1243,University of Memphis,-89.982038,35.115934,"Public, 4-year or above",Tennessee,Doctor's degree - research/scholarship and professional practice,21480,14385,7095
1244,Middle Tennessee State University,-86.362094,35.849139,"Public, 4-year or above",Tennessee,Doctor's degree - research/scholarship,23881,18280,5601
1245,Milligan College,-82.29499,36.30036,"Private not-for-profit, 4-year or above",Tennessee,Master's degree,1198,1086,112
1246,Rhodes College,-89.989187,35.154424,"Private not-for-profit, 4-year or above",Tennessee,Master's degree,2040,2027,13
1247,Sewanee-The University of the South,-85.917772,35.20443,"Private not-for-profit, 4-year or above",Tennessee,Doctor's degree -  professional practice,1701,1669,32
1248,Southern Adventist University,-85.050878,35.049136,"Private not-for-profit, 4-year or above",Tennessee,Doctor's degree -  professional practice,3255,2544,711
1249,Tennessee Wesleyan College,-84.592647,35.444939,"Private not-for-profit, 4-year or above",Tennessee,Master's degree,1084,991,93
1250,The University of Tennessee-Chattanooga,-85.299812,35.048247,"Public, 4-year or above",Tennessee,Doctor's degree - research/scholarship and professional practice,11674,9676,1998
1251,The University of Tennessee-Knoxville,-83.929696,35.955093,"Public, 4-year or above",Tennessee,Doctor's degree - research/scholarship and professional practice,30030,26283,3747
1252,The University of Tennessee-Martin,-88.864211,36.340338,"Public, 4-year or above",Tennessee,Master's degree,7423,5988,1435
1253,Tennessee State University,-86.82937,36.16899,"Public, 4-year or above",Tennessee,Doctor's degree - research/scholarship,8883,6269,2614
1254,Tennessee Technological University,-85.503957,36.174659,"Public, 4-year or above",Tennessee,Doctor's degree - research/scholarship,11118,9521,1597
1255,Trevecca Nazarene University,-86.753566,36.142115,"Private not-for-profit, 4-year or above",Tennessee,Doctor's degree - research/scholarship,2406,1687,719
1256,Tusculum College,-82.761716,36.172558,"Private not-for-profit, 4-year or above",Tennessee,Master's degree,2055,1928,127
1257,Union University,-88.858524,35.676896,"Private not-for-profit, 4-year or above",Tennessee,Doctor's degree - research/scholarship and professional practice,3993,3047,946
1258,Vanderbilt University,-86.804875,36.14443,"Private not-for-profit, 4-year or above",Tennessee,Doctor's degree - research/scholarship and professional practice,12757,11965,792
1259,Abilene Christian University,-99.70954,32.46915,"Private not-for-profit, 4-year or above",Texas,Doctor's degree - other,4461,3831,630
1260,Angelo State University,-100.466495,31.44145,"Public, 4-year or above",Texas,Doctor's degree -  professional practice,6536,5177,1359
1261,Austin College,-96.598772,33.646307,"Private not-for-profit, 4-year or above",Texas,Master's degree,1223,1220,3
1262,Baylor University,-97.119359,31.545956,"Private not-for-profit, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,15616,15016,600
1263,Concordia University-Texas,-97.836247,30.420952,"Private not-for-profit, 4-year or above",Texas,Master's degree,2565,1145,1420
1264,Texas A & M University-Corpus Christi,-97.331933,27.718601,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship,10913,7841,3072
1265,Dallas Baptist University,-96.947006,32.710017,"Private not-for-profit, 4-year or above",Texas,Doctor's degree - research/scholarship,5422,3113,2309
1266,University of Dallas,-96.921573,32.846202,"Private not-for-profit, 4-year or above",Texas,Doctor's degree - research/scholarship,2598,1705,893
1267,East Texas Baptist University,-94.374337,32.554545,"Private not-for-profit, 4-year or above",Texas,Master's degree,1247,1086,161
1268,Texas A & M University-Texarkana,-94.10398,33.49561,"Public, 4-year or above",Texas,Master's degree,1842,1002,840
1269,Texas A & M University-Commerce,-95.906913,33.243814,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship,11591,6549,5042
1270,Hardin-Simmons University,-99.733815,32.476786,"Private not-for-profit, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,2220,1792,428
1271,Houston Baptist University,-95.515978,29.694414,"Private not-for-profit, 4-year or above",Texas,Master's degree,2910,2315,595
1272,University of Houston-Clear Lake,-95.098129,29.582523,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship,8164,3711,4453
1273,University of Houston-Downtown,-95.35953,29.763831,"Public, 4-year or above",Texas,Master's degree,13757,6937,6820
1274,University of Houston-Victoria,-96.978193,28.816438,"Public, 4-year or above",Texas,Master's degree,4491,1848,2643
1275,University of Houston,-95.344851,29.719988,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,39540,28486,11054
1276,Howard Payne University,-98.984956,31.716345,"Private not-for-profit, 4-year or above",Texas,Master's degree,1170,1020,150
1277,Huston-Tillotson University,-97.721698,30.264672,"Private not-for-profit, 4-year or above",Texas,Bachelor's degree,973,840,133
1278,University of the Incarnate Word,-98.467709,29.468052,"Private not-for-profit, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,8685,5254,3431
1279,Jarvis Christian College,-95.17773,32.588249,"Private not-for-profit, 4-year or above",Texas,Bachelor's degree,609,569,40
1280,Lamar University,-94.073389,30.044274,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,14035,7356,6679
1281,Texas A & M International University,-99.435225,27.573504,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship,7431,4184,3247
1282,LeTourneau University,-94.72726,32.467658,"Private not-for-profit, 4-year or above",Texas,Master's degree,2729,1392,1337
1283,Lubbock Christian University,-101.934816,33.576273,"Private not-for-profit, 4-year or above",Texas,Master's degree,2002,1332,670
1284,University of Mary Hardin-Baylor,-97.463479,31.066798,"Private not-for-profit, 4-year or above",Texas,Doctor's degree - research/scholarship,3492,2998,494
1285,McMurry University,-99.750277,32.429551,"Private not-for-profit, 4-year or above",Texas,Master's degree,1216,1034,182
1286,Midwestern State University,-98.51774,33.877143,"Public, 4-year or above",Texas,Master's degree,5870,3984,1886
1287,University of North Texas,-97.151211,33.210958,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,38315,27282,11033
1288,Our Lady of the Lake University,-98.54395,29.425611,"Private not-for-profit, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,2927,2498,429
1289,The University of Texas-Pan American,-98.172112,26.306629,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship,20053,14138,5915
1290,The University of Texas at Brownsville,-97.486644,25.893584,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship,12285,6018,6267
1291,Paul Quinn College,-96.755864,32.677195,"Private not-for-profit, 4-year or above",Texas,Bachelor's degree,243,216,27
1292,Prairie View A & M University,-95.992066,30.094591,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship,8283,6828,1455
1293,Rice University,-95.403625,29.716485,"Private not-for-profit, 4-year or above",Texas,Doctor's degree - research/scholarship,6628,6356,272
1294,Saint Edward's University,-97.75763,30.229844,"Private not-for-profit, 4-year or above",Texas,Master's degree,4861,3651,1210
1295,University of St Thomas,-95.394178,29.738113,"Private not-for-profit, 4-year or above",Texas,Doctor's degree - research/scholarship,3525,1623,1902
1296,Sam Houston State University,-95.5519,30.7247,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship,19210,14132,5078
1297,Schreiner University,-99.131076,30.03108,"Private not-for-profit, 4-year or above",Texas,Master's degree,1136,1095,41
1298,St Mary's University,-98.564307,29.451793,"Private not-for-profit, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,3868,3279,589
1299,Southern Methodist University,-96.784855,32.845254,"Private not-for-profit, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,10929,8541,2388
1300,Southwestern Assemblies of God University,-96.85315,32.405477,"Private not-for-profit, 4-year or above",Texas,Master's degree,2012,1488,524
1301,Southwestern University,-97.664637,30.635194,"Private not-for-profit, 4-year or above",Texas,Bachelor's degree,1535,1519,16
1302,Stephen F Austin State University,-94.58546,31.58562,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship,12772,9895,2877
1303,Texas State University,-97.936392,29.889202,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,35546,28185,7361
1304,Southwestern Adventist University,-97.328511,32.397136,"Private not-for-profit, 4-year or above",Texas,Master's degree,808,651,157
1305,Southwestern Christian College,-96.286747,32.735778,"Private not-for-profit, 4-year or above",Texas,Bachelor's degree,172,157,15
1306,Sul Ross State University,-103.65007,30.363418,"Public, 4-year or above",Texas,Master's degree,2842,1378,1464
1307,Tarleton State University,-98.22008,32.215665,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship,13307,8278,5029
1308,Texas A & M University-Kingsville,-97.882342,27.524852,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship,12229,7665,4564
1309,Texas A & M University-Galveston,-94.818532,29.315257,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship,,,
1310,Texas A & M University-College Station,-96.340322,30.613226,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,55697,48780,6917
1311,The University of Texas at Arlington,-97.115087,32.728437,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,33329,19318,14011
1312,The University of Texas at Austin,-97.737279,30.284733,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,52059,47741,4318
1313,The University of Texas at Dallas,-96.748371,32.989432,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,21193,16006,5187
1314,The University of Texas at El Paso,-106.50356,31.771697,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,23003,14241,8762
1315,The University of Texas at Tyler,-95.249096,32.314724,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship,7476,4711,2765
1316,Texas Christian University,-97.361537,32.709568,"Private not-for-profit, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,9925,8936,989
1317,Texas College,-95.312259,32.374185,"Private not-for-profit, 4-year or above",Texas,Bachelor's degree,971,931,40
1318,Texas Lutheran University,-97.984601,29.573274,"Private not-for-profit, 4-year or above",Texas,Master's degree,1341,1268,73
1319,The University of Texas of the Permian Basin,-102.329634,31.889509,"Public, 4-year or above",Texas,Master's degree,5131,2124,3007
1320,The University of Texas at San Antonio,-98.621386,29.582418,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship,28623,21943,6680
1321,Texas Southern University,-95.361961,29.722468,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,8703,6936,1767
1322,Texas Tech University,-101.876917,33.580309,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,33111,28287,4824
1323,Texas Wesleyan University,-97.279631,32.733314,"Private not-for-profit, 4-year or above",Texas,Doctor's degree - research/scholarship,2397,1904,493
1324,Texas Woman's University,-97.129088,33.227002,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship and professional practice,15058,8428,6630
1325,Trinity University,-98.482577,29.46286,"Private not-for-profit, 4-year or above",Texas,Master's degree,2358,2259,99
1326,Wayland Baptist University,-101.729564,34.186673,"Private not-for-profit, 4-year or above",Texas,Master's degree,6222,1235,4987
1327,West Texas A & M University,-101.9158,34.981996,"Public, 4-year or above",Texas,Doctor's degree - research/scholarship,8377,6025,2352
1328,Wiley College,-94.376821,32.537646,"Private not-for-profit, 4-year or above",Texas,Bachelor's degree,1392,1327,65
1329,Brigham Young University-Provo,-111.649281,40.250851,"Private not-for-profit, 4-year or above",Utah,Doctor's degree - research/scholarship and professional practice,31123,27114,4009
1330,Brigham Young University-Hawaii,-157.925358,21.641172,"Private not-for-profit, 4-year or above",Hawaii,Bachelor's degree,2882,2505,377
1331,Dixie State University,-113.565894,37.103875,"Public, 4-year or above",Utah,Bachelor's degree,8350,5165,3185
1332,Southern Utah University,-113.070146,37.674617,"Public, 4-year or above",Utah,Master's degree,7745,5421,2324
1333,Stevens-Henager College-Ogden,-112.011617,41.232847,"Private not-for-profit, 4-year or above",Utah,Bachelor's degree,320,320,0
1334,Stevens-Henager College of Business-Provo,-111.713264,40.269691,"Private not-for-profit, 4-year or above",Utah,Bachelor's degree,351,351,0
1335,Utah State University,-111.81391,41.740748,"Public, 4-year or above",Utah,Doctor's degree - research/scholarship and professional practice,27812,16436,11376
1336,Utah Valley University,-111.717058,40.278512,"Public, 4-year or above",Utah,Master's degree,30564,15755,14809
1337,University of Utah,-111.846044,40.762484,"Public, 4-year or above",Utah,Doctor's degree - research/scholarship and professional practice,32077,23084,8993
1338,Weber State University,-111.94484,41.19258,"Public, 4-year or above",Utah,Master's degree,25155,11155,14000
1339,Westminster College,-111.855553,40.731495,"Private not-for-profit, 4-year or above",Utah,Master's degree,3108,2680,428
1340,Bennington College,-73.237498,42.92004,"Private not-for-profit, 4-year or above",Vermont,Master's degree,738,720,18
1341,Burlington College,-73.228181,44.49117,"Private not-for-profit, 4-year or above",Vermont,Master's degree,243,164,79
1342,Castleton State College,-73.181486,43.607982,"Public, 4-year or above",Vermont,Master's degree,2175,1877,298
1343,Champlain College,-73.204354,44.47295,"Private not-for-profit, 4-year or above",Vermont,Master's degree,3305,2635,670
1344,Goddard College,-72.437252,44.27912,"Private not-for-profit, 4-year or above",Vermont,Master's degree,592,582,10
1345,Green Mountain College,-73.241107,43.517134,"Private not-for-profit, 4-year or above",Vermont,Master's degree,840,819,21
1346,Johnson State College,-72.671154,44.641736,"Public, 4-year or above",Vermont,Master's degree,1692,993,699
1347,Lyndon State College,-72.024563,44.53433,"Public, 4-year or above",Vermont,Master's degree,1519,1259,260
1348,Marlboro College,-72.736552,42.839603,"Private not-for-profit, 4-year or above",Vermont,Master's degree,260,228,32
1349,Middlebury College,-73.176068,44.009117,"Private not-for-profit, 4-year or above",Vermont,Doctor's degree - research/scholarship,2495,2477,18
1350,Norwich University,-72.660129,44.139402,"Private not-for-profit, 4-year or above",Vermont,Master's degree,3417,3126,291
1351,Saint Michael's College,-73.163136,44.494212,"Private not-for-profit, 4-year or above",Vermont,Master's degree,2378,2004,374
1352,SIT Graduate Institute,-72.56738,42.891035,"Private not-for-profit, 4-year or above",Vermont,Master's degree,443,184,259
1353,College of St Joseph,-73.007033,43.599777,"Private not-for-profit, 4-year or above",Vermont,Master's degree,271,142,129
1354,Southern Vermont College,-73.21866,42.867031,"Private not-for-profit, 4-year or above",Vermont,Bachelor's degree,480,453,27
1355,Sterling College,-72.382372,44.65225,"Private not-for-profit, 4-year or above",Vermont,Bachelor's degree,116,104,12
1356,Vermont Technical College,-72.605179,43.939321,"Public, 4-year or above",Vermont,Bachelor's degree,1543,1049,494
1357,University of Vermont,-73.198128,44.479262,"Public, 4-year or above",Vermont,Doctor's degree - research/scholarship and professional practice,12723,11001,1722
1358,Averett University,-79.413214,36.577273,"Private not-for-profit, 4-year or above",Virginia,Master's degree,906,864,42
1359,Bluefield College,-81.244879,37.245681,"Private not-for-profit, 4-year or above",Virginia,Master's degree,842,726,116
1360,Bridgewater College,-78.969011,38.378391,"Private not-for-profit, 4-year or above",Virginia,Bachelor's degree,1848,1840,8
